OBJECTID,UNIT_ID,PARK_NAME,PARK_LBL,ACCESS_TYP,RPT_ACRES,GIS_ACRES,AGNCY_NAME,AGNCY_LEV,AGNCY_TYP,AGNCY_WEB,MNG_AGENCY,COGP_TYP,NDS_AN_TYP,NEEDS_ANLZ,TKIT_SUM,AMEN_RPT,PRKINF_CND,AM_OPNSP,AM_TRLS,TRLS_MI,TENIS,BSKTB,BASEB,SOCCR,MPFLD,FITZN,SK8PK,PCNIC,PLGND,POOLS,SPPAD,DGPRK,GYM,COMCT,SNRCT,RSTRM,TOTAL_GOOD,TOTAL_FAIR,TOTAL_POOR,TYPE,LMS_ID,CENTER_LAT,CENTER_LON,ADDRESS,CITY,ZIP,HOURS,PHONES,IS_COUNTY
565,6233,Enterprise Park,Enterprise Park,Open Access,10.007,10.00803679,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Fair,Not Reported,0,0,2,1,2,0,0,0,1,1,1,0,0,1,0,0,2,2,7,2,Local Park,3000056,33.9137201,-118.25763086,13055 Clovis St.,Los Angeles,90059,"Operating Hours<br>
6:30am to 9:00pm<br>
Monday – Sunday<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
June 18th to Aug 20th, 2022<br>
Mon, Wed, Fri<br>
11:00 AM to 7:00 PM<br>","General: (310) 603-3725; Aquatics: (310) 603-2334",Yes
590,6275,Martin Luther King Jr. Memorial,Martin Luther King Jr. Memorial,Open Access,4.087,4.08701266,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,33.89458444,-118.22570531,2270 E 122nd St,Compton,90220,,,No
618,6320,Marina Beach,Marina Beach,Open Access,9.676,9.67665561,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0.33,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,5,Local Park,63775,33.98133862,-118.4579332,4101 Admiralty Way,Marina Del Rey,90292,,,No
619,6321,Marina del Rey Pocket Park,Marina del Rey pocket park,Open Access,0.294,0.29410345,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Pocket Park,Park < 5 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Local Park,,33.97604079,-118.45926283,4701 Admiralty Way,Marina Del Rey,90292,,,No
620,6323,Aubrey E. Austin Jr. Park and North Jetty,Aubrey E. Austin Jr. Park and North Jetty,Open Access,0.966,0.96611892,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,33.96622998,-118.4546058,,Marina Del Rey,90292,,,No
625,6328,Yvonne B. Burke Park,Yvonne B. Burke Park,Open Access,9.414,9.41409981,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Present - Fair,Present - Fair,0.6,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,Local Park,22972,33.98477676,-118.4492683,4350 Admiralty Way,Marina Del Rey,90292,,,No
626,6331,Burton W. Chace Park,Burton W. Chace Park,Open Access,7.372,7.22414629,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Neighborhood Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,Present - Fair,0.76,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,5,0,Local Park,63781,33.97709422,-118.44519076,13650 Mindanao Way,Marina Del Rey,90292,,,No
655,6368,Mission Canyon Open Space,Mission Canyon OS,Open Access,479.94,479.92530777,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.12032289,-118.49080837,8260 Mulholland Drive,Los Angeles,90049,,,No
696,6423,Canyon Oaks Open Space Access,Canyon Oaks OS Access,Open Access,0.552,0.55242568,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.1250056,-118.60294595,,Topanga,90290,,,No
727,6487,Cold Creek Canyon,Cold Creek Canyon,Open Access,15.435,15.4342081,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Undeveloped,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000038,34.09393321,-118.66660013,Calabasas,Calabasas,91302,,,No
777,6562,Peter F Schabarum Regional County Park,Peter F Schabarum Reg. County Park,Open Access,575.49326092,575.49326092,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Regional,Regional Park,Yes,Yes,Yes,Fair,Fair,Fair,2,2,0,0,2,0,1,0,7,3,0,0,0,0,0,0,9,4,9,9,Regional Recreation Park,3000152,33.97946864,-117.93262832,17250 E. Colima Rd.,Hacienda Heights,91745,"Hours of Operation<br>
6:00am to 8:00pm<br>
Wednesday - Sunday",General: (626) 854-5560,Yes
943,6829,Henderson Canyon Open Space,Henderson Canyon OS,Open Access,213.981,213.96658602,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.21857289,-118.28383633,,Sun Valley,91352,,,No
1029,6943,Winery Canyon Open Space,Winery Canyon OS,Open Access,342.698,342.39190354,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.23691837,-118.2104699,,La Canada Flintridge,91011,,,No
1046,6964,Charles White Park,Charles White Park,Open Access,5.474,5.47365226,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Good,None,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,3,1,1,Local Park,3000178,34.18838311,-118.15262512,77 Mountain View St.,Altadena,91001,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm","General: (626) 398-2073; Reservations: (800) 267-2757",Yes
1048,6967,Charles S. Farnsworth Park,Farnsworth Park,Open Access,14.762,14.7608154,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Fair,None,0,2,2,2,0,0,0,0,2,1,0,0,0,0,1,0,3,0,5,7,Local Park,3000058,34.20072696,-118.13278298,568 E. Mount Curve Ave.,Altadena,91001,"Operating Hours<br>
Monday – Sunday<br>
6:30am to 9:00pm<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sunday<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm","General: (626) 798-6335; Reservations: (800) 267-2757",Yes
1049,6971,Altadena Golf Course,Altadena GC,Open Access,57.765,57.76211872,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Golf,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000009,34.18256,-118.11954346,1456 E. Mendocino St.,Altadena,91001,<Null>,General: (626) 797-3821,Yes
1079,7018,Santa Anita Golf Course,Santa Anita GC,Open Access,129.02147301,129.02147301,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Golf,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000148,34.1332273,-118.03649911,405 S. Santa Anita Ave.,Arcadia,91007,<Null>,General: (626) 447-2331,Yes
1106,7056,Sunshine Park,Sunshine Park,Open Access,7.048,7.0477218,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Fair,None,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,11,0,Local Park,3000159,34.00931821,-117.90128919,515 S. Deepmead Ave.,La Puente,91744,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>Senior Program without Nutrition<br> Monday – Friday<br> 9:00 am to 12:00 pm<br> Opening November 1st<br><p>,"General: (626) 854-5559; Reservations: (888) 239-6700",Yes
1152,7120,Angeles National Forest,Angeles NF,Open Access,21.078,21.07701839,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.20191101,-118.0810125,Mt Lukens Truck Trail,Altadena,91001,,,No
1201,7238,Puerco Beach,Puerco Beach,Open Access,9.211,6.10886761,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,34.03302192,-118.73513531,Puerco Beach,Malibu,90265,,,No
1223,7282,David March Park,David March Park,Open Access,12.257,12.25532723,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Santa Clarita, City of",Community Park,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Present - Fair,None,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,4,0,Local Park,3000099,34.44869583,-118.48833771,Via Joyce Dr,Santa Clarita,91350,,,No
1228,7297,Jake Kuredjian Park,Jake Kuredjian Park,Open Access,5.744,5.74343157,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Good,Good,0.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Local Park,3000079,34.38165741,-118.58068834,25265 Pico Canyon Rd.,Stevenson Ranch,91381,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm",General: (661) 294-3500,Yes
1229,7298,Dr. Richard H. Rioux Memorial Park,Dr. Richard H Rioux Memorial Park,Open Access,16.647,16.64540998,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Fair,Fair,0.35,2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,1,6,2,1,Local Park,3000135,34.39084497,-118.59318467,26233 W. Faulkner Dr.,Stevenson Ranch,91381,"Operating Hours<br>
Monday – Sunday<br>
6:30am to 9:00pm<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sunday<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm","General: (661) 222-9536; Reservations: (800) 267-2757",Yes
1234,7304,Michael D Antonovich Open Space,Michael D Antonovich OS,Open Access,6.275,6.27427003,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.34033239,-118.52388537,23801 The Old Road,Sylmar,91342,,,No
1262,8137,Pearblossom County Park,Pearblossom Park,Open Access,7.737,7.73605585,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Good,None,0,0,1,1,0,1,0,0,1,2,0,1,0,0,1,0,2,3,8,0,Local Park,3000125,34.50151284,-117.9120764,33922 N. 121st St. East,Pearblossom,93553,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>,"General: (661) 944-2988; Reservations: (800) 267-2757",Yes
1268,8300,Pepperbrook Park,Pepperbrook Park,Open Access,5.145,5.14490839,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Not Reported,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,Local Park,3000127,33.99270453,-117.94303406,1701 S. Countrywood Ave.,Hacienda Heights,91745,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm","General: (626) 333-1369; Reservations: (888) 239-6700",Yes
1270,8395,Phacelia Wildlife Sanctuary,Phacelia Wildlife Sanctuary,Open Access,160.511,160.48686121,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Sanctuary,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000128,34.78282578,-117.7696942,Lancaster,Lancaster,93535,<Null>,General: (661) 944-6881,Yes
1315,10365,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,Open Access,24.34,24.34122602,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community Regional,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Poor,Poor,0,2,2,3,1,1,1,1,4,7,1,0,0,1,0,1,7,1,18,9,Local Park,3000138,33.9702042,-118.24204655,7600 Graham Ave.,Los Angeles,90001,"Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sundays<br>
<p>
Senior Center Hours<br>
Monday - Friday<br>
8:00 am to 5:00 pm<br>
<p>
Senior Nutrition Hours<br> 
Monday – Friday<br> 
8:00 am to 2:00 pm<br> 
Drop-in: 2:00 pm to 4:00 pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm<br>
<p>
Pool Operating Hours<br>
Monday - Friday<br>
6:00 am to 8:00 pm<br>
Saturday<br>
8:00 am to 4:00 pm<br>
Closed Sunday<br>
<p>
Year Round Pool Closures<br>
Last Day Open<br>
Saturday, August 20, 2022<br>
Saturday, Nov 19, 2022<br>
Friday, Dec 23, 2022<br>
Closure Period<br>
Sunday, Aug 21 – Sunday Aug 28, 2022<br>
Sunday, Nov 20 – Sunday Nov 27, 2022<br>
Saturday, Dec 24 – Sunday, Jan 8, 2023<br>
Re-Opening Day<br>
Monday, Aug 29, 2022<br>
Monday, Nov 28, 2022<br>
Monday, Jan 9, 2026<br>
<p>
Parks After Dark<br>
June 16th to Aug 6th, 20","General: (323) 586-7228; Reservations: (800) 404-5888; Pool: (323) 586-7203; Sr. Ctr: (323) 586-7217",Yes
1319,10511,Rowland Heights Park,Rowland Heights Park,Open Access,10.23134457,10.23,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Not Reported,0,2,2,2,0,1,0,0,2,2,0,0,0,0,1,0,1,0,11,2,Local Park,3000140,33.98902278,-117.87957338,1500 S. Banida Ave.,Rowland Heights,91748,"Operating Hours<br>
Monday – Sunday<br>
6:30am to 9:00pm<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sunday<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm","General: (626) 912-6774; Reservations: (888) 239-6700",Yes
1326,10784,San Angelo Park,San Angelo Park,Open Access,8.655,8.65472409,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Good,Fair,None,0,2,1,1,0,1,1,0,3,1,0,1,0,0,2,0,1,5,9,0,Local Park,3000143,34.05025481,-118.00245599,245 S. San Angelo Ave.,La Puente,91746,Operating Hours<br> Monday – Sunday<br> 6:30am to 9:00pm<br> <p> Staff and Programming Hours<br> Monday - Thursday<br> 10:30 am to 9:00 pm<br> Friday <br> 10:30 am to 7:00 pm<br> Saturday<br> 8:30 am to 5:00 pm<br> No Staff on Sundays<br><p>Restroom Hours<br>Monday - Sunday<br>7:00am to 8:30pm<br><p> Splash Pads<br> May 1st to September 30th<br> 7 days a week<br>  11:00a.m. to 7:00p.m.<br><p>,"General: (626) 333-6162; Reservations: (888) 239-6700",Yes
1343,12332,Secret Valley,Secret Valley,Open Access,41.708,41.70651166,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Undeveloped,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.11990306,-118.64794904,154 S Topanga Canyon Blvd,Topanga,90290,,,No
1349,12346,Knollwood Golf Course,Knollwood Golf Course,Open Access,150.48268589,150.48268589,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Golf,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000077,34.29196777,-118.49738844,12040 Balboa Blvd.,Granada Hills,91344,<Null>,General: (818) 363-8161,Yes
1450,12580,Rim of the Valley County Parkland,Rim of the Valley County Parkland,Open Access,311.96,311.92886656,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.33365751,-118.45791745,,Sylmar,91342,,,No
1510,12771,Los Angeles County Open Space,Los Angeles County OS,Open Access,6.512,6.51198082,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.10547253,-118.59484864,401 S Topanga Canyon Blvd,Topanga,90290,,,No
1511,12772,Los Angeles County Open Space,Los Angeles County OS,Open Access,0.278,0.27791266,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.08193374,-118.60040436,401 S Topanga Canyon Blvd,Topanga,90290,,,No
1512,12773,Los Angeles County Open Space,Los Angeles County OS,Open Access,0.131,0.13106968,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.08052142,-118.60313198,401 S Topanga Canyon Blvd,Topanga,90290,,,No
1514,12776,Los Angeles County Open Space,Los Angeles County OS,No Public Access,0.548,0.54776792,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.05324275,-118.60141325,401 S Topanga Canyon Blvd,Topanga,90290,,,No
1516,12781,Santa Monica Mountains National Recreation Area,Santa Monica Mtns. NRA,Open Access,0.231,0.23085602,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,23149,34.11333264,-118.65135956,20828 Entrada Rd,Topanga,90290,,,No
1518,12786,Calabasas Peak,Calabasas Peak,Open Access,121.914,121.91032494,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Undeveloped,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,25740,34.10779459,-118.65087366,Calabasas Peak Mtwy,Topanga,90290,,,No
1520,12789,Santa Monica Mountains National Recreation Area,Santa Monica Mtns. NRA,Open Access,0.247,0.24718792,"Los Angeles, County of",County,Federal Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,23149,34.08696425,-118.63947244,20828 Entrada Rd,Topanga,90290,,,No
1521,12794,Santa Monica Mountains National Recreation Area,Santa Monica Mtns. NRA,Open Access,0.113,0.11343185,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,23149,34.08980626,-118.63967635,20828 Entrada Rd,Topanga,90290,,,No
1542,12858,Sorensen Park,Sorensen Park,Open Access,10.8977022,10.8977022,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Community,Park 5 to 100 Acres,Yes,Yes,Yes,Poor,Poor,Not Reported,0,0,2,2,0,0,1,0,5,2,0,0,0,0,1,0,2,3,8,1,Local Park,3000155,33.9793823,-118.06115867,11419 Rose Hedge Dr.,Whittier,90606,"Operating Hours<br>
Monday – Sunday<br>
6:30am to 9:00pm<br>
<p>
Staff and Programming Hours<br>
Monday - Thursday<br>
10:30am to 9:00pm<br>
Friday<br>
10:30am to 7:00pm<br>
Saturday<br>
8:30am to 5:00pm<br>
No Staff on Sunday<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 8:30pm
","General: (562) 908-7763; Reservations: (800) 404-5888",Yes
1547,12926,Grand Park,Grand Park,Open Access,9.322,9.3223987,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regional Open Space,,34.05586529,-118.24612719,200 N Grand Ave,Los Angeles,90012,,,No
1560,14183,Carl O. Gerhardy Wildlife Sanctuary,Carl O. Gerhardy Wildlife Sanctuary,Open Access,552.108,552.02648355,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Special Use - Sanctuary,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,3000062,34.63438176,-117.69496648,Palmdale,Palmdale,93591,"June 15th to August 22nd<br>
Pool is closed for the summer",General: (661) 944-6881,Yes
1585,14739,Thomas S. Burton Park,Thomas S Burton Park,Open Access,11.753,11.75289573,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,Los Angeles County Department of Parks and Recreation,Neighborhood,Park 5 to 100 Acres,Yes,Yes,Yes,Fair,Fair,Not Reported,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,2,Local Park,3000025,33.99077085,-117.95159068,16490 E. Santa Bianca Dr.,Hacienda Heights,91745,"March 1st to October 31st<br>
Operating Hours<br>
Monday - Sunday<br>
6:30am to 8:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 7:30pm<br>
<p>
November 1st to February 28th<br>
Operating Hours<br>
Monday – Sunday<br>
6:30am to 6:00pm<br>
<p>
Restroom Hours<br>
Monday - Sunday<br>
7:00am to 5:30pm",General: (626) 333-1369,Yes
1590,14790,Topanga County Beach,Topanga County Beach,Open Access,27.444,20.05574533,"Los Angeles, County of",County,County Agency,http://parks.lacounty.gov,"Los Angeles, County of",Not Analyzed,Not Analyzed,No,No,No,Not Reported,Not Reported,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Natural Areas,,34.03894743,-118.58366905,Topanga Canyon Ln,Malibu,90265,,,No
